Replenishment Receive Location,Part Number,TOPMOST,Part Name,foo,Strategic Product,Life Cycle,Frequency,foo,丸め,ＲＥＧ,ＲＥＧ        Sub Amount,ADD,ADD              Sub Amount,Price(FOB),Amount,CostCurrency,Transport by Boat(N+1)月出荷,Transport by Air(N+1)月出荷,ADD Boat(N1) 月出荷,ADD Air(N1) 月出荷,AIR金額,同月出荷可能数量,N2月月末時点在庫数,N2月中間時点在庫数,Order Date,Due Date or Available Date,OrderType,MAPE
210_KDA,AA0063,AA0063,Product-63,foo,n,4:Decline,Freq 3/6,foo,1,1,,0,,,,,,,,,,,,,,,,
210_KDA,AA0064,AA0064,Product-64,foo,n,4:Decline,Freq 6/6,foo,6,0,,88,,,,,,,,,,,,,,,,
210_KDA,AA0065,AA0065,Product-65,foo,n,4:Decline,Freq 6/6,foo,6,18,,19,,,,,,,,,,,,,,,,
210_KDA,AA0066,AA0066,Product-66,foo,n,4:Decline,Freq 6/6,foo,1,5,,17,,,,,,,,,,,,,,,,
210_KDA,AA0067,AA0067,Product-67,foo,n,4:Decline,Freq 4/6,foo,1,6,,-1,,,,,,,,,,,,,,,,
210_KDA,AA0068,AA0068,Product-68,foo,n,4:Decline,Freq 5/6,foo,1,15,,0,,,,,,,,,,,,,,,,
210_KDA,AA0069,AA0069,Product-69,foo,n,4:Decline,Freq 3/6,foo,1,2,,0,,,,,,,,,,,,,,,,
210_KDA,AA0070,AA0070,Product-70,foo,n,4:Decline,Freq 5/6,foo,1,0,,30,,,,,,,,,,,,,,,,
210_KDA,AA0071,AA0071,Product-71,foo,n,4:Decline,Freq 5/6,foo,1,2,,1,,,,,,,,,,,,,,,,
210_KDA,AA0072,AA0072,Product-72,foo,n,4:Decline,Freq 4/6,foo,1,4,,-1,,,,,,,,,,,,,,,,
210_KDA,AA0073,AA0073,Product-73,foo,n,4:Decline,Freq 3/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0074,AA0074,Product-74,foo,n,4:Decline,Freq 3/6,foo,4,3,,-1,,,,,,,,,,,,,,,,
210_KDA,AA0075,AA0075,Product-75,foo,n,4:Decline,Freq 6/6,foo,1,30,,51,,,,,,,,,,,,,,,,
210_KDA,AA0076,AA0076,Product-76,foo,n,4:Decline,Freq 5/6,foo,1,4,,2,,,,,,,,,,,,,,,,
210_KDA,AA0077,AA0077,Product-77,foo,n,4:Decline,Freq 6/6,foo,1,12,,-1,,,,,,,,,,,,,,,,
210_KDA,AA0078,AA0078,Product-78,foo,n,4:Decline,Freq 3/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0079,AA0079,Product-79,foo,y,2:Upturn,Freq 6/6,foo,4,160,,2,,,,,,,,,,,,,,,,
210_KDA,AA0080,AA0080,Product-80,foo,y,1:New Product,Freq 6/6,foo,4,400,,13,,,,,,,,,,,,,,,,
210_KDA,AA0081,AA0081,Product-81,foo,y,1:New Product,Freq 6/6,foo,1,229,,121,,,,,,,,,,,,,,,,
210_KDA,AA0082,AA0082,Product-82,foo,n,4:Decline,Freq 6/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0083,AA0083,Product-83,foo,n,4:Decline,Freq 6/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0084,AA0084,Product-84,foo,n,4:Decline,Freq 6/6,foo,4,96,,245,,,,,,,,,,,,,,,,
210_KDA,AA0085,AA0085,Product-85,foo,n,3:Mature,Freq 6/6,foo,4,0,,28,,,,,,,,,,,,,,,,
210_KDA,AA0086,AA0086,Product-86,foo,n,3:Mature,Freq 6/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0087,AA0087,Product-87,foo,n,3:Mature,Freq 6/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0088,AA0088,Product-88,foo,n,3:Mature,Freq 6/6,foo,4,8,,-4,,,,,,,,,,,,,,,,
210_KDA,AA0089,AA0089,Product-89,foo,n,4:Decline,Freq 5/6,foo,1,0,,1,,,,,,,,,,,,,,,,
210_KDA,AA0090,AA0090,Product-90,foo,n,3:Mature,Freq 6/6,foo,1,8,,167,,,,,,,,,,,,,,,,
210_KDA,AA0091,AA0091,Product-91,foo,n,4:Decline,Freq 3/6,foo,1,2,,-1,,,,,,,,,,,,,,,,
210_KDA,AA0092,AA0092,Product-92,foo,n,3:Mature,Freq 6/6,foo,1,9,,11,,,,,,,,,,,,,,,,
210_KDA,AA0093,AA0093,Product-93,foo,n,4:Decline,Freq 4/6,foo,1,6,,3,,,,,,,,,,,,,,,,
210_KDA,AA0094,AA0094,Product-94,foo,n,4:Decline,Freq 4/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0095,AA0095,Product-95,foo,n,3:Mature,Freq 6/6,foo,1,9,,0,,,,,,,,,,,,,,,,
210_KDA,AA0096,AA0096,Product-96,foo,n,3:Mature,Freq 6/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0097,AA0097,Product-97,foo,n,4:Decline,Freq 3/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0098,AA0098,Product-98,foo,n,3:Mature,Freq 6/6,foo,1,160,,117,,,,,,,,,,,,,,,,
210_KDA,AA0099,AA0099,Product-99,foo,n,4:Decline,Freq 5/6,foo,1,11,,1,,,,,,,,,,,,,,,,
210_KDA,AA0100,AA0100,Product-100,foo,n,4:Decline,Freq 5/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0101,AA0101,Product-101,foo,n,4:Decline,Freq 4/6,foo,1,6,,-1,,,,,,,,,,,,,,,,
210_KDA,AA0102,AA0102,Product-102,foo,n,3:Mature,Freq 6/6,foo,1,9,,8,,,,,,,,,,,,,,,,
210_KDA,AA0103,AA0103,Product-103,foo,n,4:Decline,Freq 4/6,foo,1,4,,0,,,,,,,,,,,,,,,,
210_KDA,AA0104,AA0104,Product-104,foo,n,3:Mature,Freq 6/6,foo,4,40,,28,,,,,,,,,,,,,,,,
210_KDA,AA0105,AA0105,Product-105,foo,n,3:Mature,Freq 6/6,foo,4,12,,58,,,,,,,,,,,,,,,,
210_KDA,AA0106,AA0106,Product-106,foo,n,4:Decline,Freq 6/6,foo,4,8,,9,,,,,,,,,,,,,,,,
210_KDA,AA0107,AA0107,Product-107,foo,n,4:Decline,Freq 6/6,foo,4,20,,8,,,,,,,,,,,,,,,,
210_KDA,AA0108,AA0108,Product-108,foo,n,4:Decline,Freq 6/6,foo,1,13,,-1,,,,,,,,,,,,,,,,
210_KDA,AA0109,AA0109,Product-109,foo,n,4:Decline,Freq 6/6,foo,1,8,,1,,,,,,,,,,,,,,,,
210_KDA,AA0110,AA0110,Product-110,foo,n,4:Decline,Freq 2/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0111,AA0111,Product-111,foo,n,4:Decline,Freq 4/6,foo,1,7,,0,,,,,,,,,,,,,,,,
210_KDA,AA0112,AA0112,Product-112,foo,y,2:Upturn,Freq 6/6,foo,20,320,,12,,,,,,,,,,,,,,,,
210_KDA,AA0113,AA0113,Product-113,foo,n,4:Decline,Freq 6/6,foo,6,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0114,AA0114,Product-114,foo,n,4:Decline,Freq 6/6,foo,6,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0115,AA0115,Product-115,foo,y,2:Upturn,Freq 6/6,foo,6,120,,8,,,,,,,,,,,,,,,,
210_KDA,AA0116,AA0116,Product-116,foo,n,4:Decline,Freq 1/6,foo,6,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0117,AA0117,Product-117,foo,n,4:Decline,Freq 6/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0118,AA0118,Product-118,foo,n,4:Decline,Freq 0/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0119,AA0119,Product-119,foo,n,4:Decline,Freq 6/6,foo,6,24,,3,,,,,,,,,,,,,,,,
210_KDA,AA0120,AA0120,Product-120,foo,n,4:Decline,Freq 6/6,foo,6,270,,242,,,,,,,,,,,,,,,,
210_KDA,AA0121,AA0121,Product-121,foo,n,4:Decline,Freq 0/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0122,AA0122,Product-122,foo,n,4:Decline,Freq 3/6,foo,1,7,,-2,,,,,,,,,,,,,,,,
210_KDA,AA0123,AA0123,Product-123,foo,n,3:Mature,Freq 6/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0124,AA0124,Product-124,foo,n,4:Decline,Freq 3/6,foo,1,1,,1,,,,,,,,,,,,,,,,
210_KDA,AA0125,AA0125,Product-125,foo,n,4:Decline,Freq 3/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0126,AA0126,Product-126,foo,n,3:Mature,Freq 6/6,foo,6,90,,-4,,,,,,,,,,,,,,,,
210_KDA,AA0127,AA0127,Product-127,foo,n,3:Mature,Freq 6/6,foo,6,0,,163,,,,,,,,,,,,,,,,
210_KDA,AA0128,AA0128,Product-128,foo,n,4:Decline,Freq 2/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0129,AA0129,Product-129,foo,n,3:Mature,Freq 6/6,foo,6,132,,1,,,,,,,,,,,,,,,,
210_KDA,AA0130,AA0130,Product-130,foo,n,3:Mature,Freq 6/6,foo,6,108,,-2,,,,,,,,,,,,,,,,
210_KDA,AA0131,AA0131,Product-131,foo,n,4:Decline,Freq 4/6,foo,1,7,,-1,,,,,,,,,,,,,,,,
210_KDA,AA0132,AA0132,Product-132,foo,n,3:Mature,Freq 6/6,foo,1,9,,39,,,,,,,,,,,,,,,,
210_KDA,AA0133,AA0133,Product-133,foo,n,3:Mature,Freq 6/6,foo,12,0,,10,,,,,,,,,,,,,,,,
210_KDA,AA0134,AA0134,Product-134,foo,n,3:Mature,Freq 6/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0135,AA0135,Product-135,foo,n,4:Decline,Freq 4/6,foo,18,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0136,AA0136,Product-136,foo,n,3:Mature,Freq 6/6,foo,18,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0137,AA0137,Product-137,foo,n,4:Decline,Freq 3/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0138,AA0138,Product-138,foo,n,4:Decline,Freq 4/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0139,AA0139,Product-139,foo,n,4:Decline,Freq 4/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0140,AA0140,Product-140,foo,n,4:Decline,Freq 3/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0141,AA0141,Product-141,foo,n,3:Mature,Freq 6/6,foo,4,12,,-1,,,,,,,,,,,,,,,,
210_KDA,AA0142,AA0142,Product-142,foo,n,3:Mature,Freq 6/6,foo,4,8,,-1,,,,,,,,,,,,,,,,
210_KDA,AA0143,AA0143,Product-143,foo,n,3:Mature,Freq 6/6,foo,1,20,,-1,,,,,,,,,,,,,,,,
210_KDA,AA0144,AA0144,Product-144,foo,n,3:Mature,Freq 6/6,foo,1,8,,0,,,,,,,,,,,,,,,,
210_KDA,AA0145,AA0145,Product-145,foo,n,4:Decline,Freq 2/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0146,AA0146,Product-146,foo,n,4:Decline,Freq 6/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0147,AA0147,Product-147,foo,n,4:Decline,Freq 6/6,foo,1,70,,77,,,,,,,,,,,,,,,,
