名前: U020 Forecast Check Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日付/時間: 2023/09/01 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拠点名,品番,品名,需要ストリーム,最重点管理品目,Strategic Product,ライフサイクル,Frequency,傾向性ランク,foo,FOB価格,安全在庫,6ヶ月平均出荷実績,予測手法（EN）,出荷実績　(N-12),出荷実績　(N-11),出荷実績　(N-10),出荷実績　(N-09),出荷実績　(N-08),出荷実績　(N-07),出荷実績　(N-06),出荷実績　(N-05),出荷実績　(N-04),出荷実績　(N-03),出荷実績　(N-02),出荷実績　(N-01),FOB価格x前月出荷数量,12ヶ月平均出荷実績,予測数量(N),予測数量(N+1),予測数量(N+2),予測数量(N+3),予測数量(N+4),予測数量(N+5),予測数量(N+6),予測数量(N+7),予測数量(N+8),予測数量(N+9),予測数量(N+10),予測数量(N+11),Foo,Bar,標準偏差,平均,実績期間,実績率エラー,将来日付を含む受注残,RMSE,MAPE,MAD,計算された安全在庫,在庫タイプ,VMR値,実績の異常値検知,予測手法変更,予測数量変更,需要履歴変更,予測実績乖離1,予測実績乖離2,予測実績乖離3,SVG予測数量(N),SVG予測数量(N+1),SVG予測数量(N+2),SVG予測数量(N+3),SVG予測数量(N+4),SVG予測数量(N+5),SVG予測数量(N+6),SVG予測数量(N+7),SVG予測数量(N+8),SVG予測数量(N+9),SVG予測数量(N+10),SVG予測数量(N+11)
U.S.,AA0021,Product-21,U.S.,Normal,n,3:Mature,Freq 6/6,,foo,25.67,6,11,MovingAverage,9,4,18,8,5,4,10,14,8,9,9,16,410.72,10,11.05,13.33,11.97,11.28,12.42,10.94,11.85,10.6,10.6,10.26,10.71,11.74,1,21,3.057617,11.396625,6,26.82914459,0,7.4562,0.8686,6.6616,0,SH ,0.78367666, ,y, , , ,y, ,11.05,13.33,11.97,11.28,12.42,10.94,11.85,10.6,10.6,10.26,10.71,11.74
U.S.,AA0022,Product-22,U.S.,Normal,n,3:Mature,Freq 6/6,,foo,80.4,6,2,MovingAverage,8,6,10,13,4,3,1,3,5,1,2,0,0,5,2.07,2.5,2.24,2.11,2.33,2.05,2.22,1.98,1.98,1.92,2.01,2.2,1,22,3.917444,4.635661,12,84.5066971,0,3.1297,0.93,2.5124,5.9,SH ,6.87084929, ,y, , , , ,y,2.07,2.5,2.24,2.11,2.33,2.05,2.22,1.98,1.98,1.92,2.01,2.2
U.S.,AA0023,Product-23,U.S.,Normal,n,4:Decline,Freq 4/6,,foo,100.37,2,1,MovingAverage,4,0,0,1,0,2,2,0,2,1,0,0,0,1,0.84,1.01,0.91,0.86,0.94,0.83,0.9,0.8,0.8,0.78,0.81,0.89,1,23,1.007708,0.864121,6,116.6165387,0,0.9574,1.25,0.8333,2.11,SLP,1.12264343, ,y, , , , , ,0.84,1.01,0.91,0.86,0.94,0.83,0.9,0.8,0.8,0.78,0.81,0.89
U.S.,AA0024,Product-24,U.S.,Normal,n,4:Decline,Freq 5/6,,foo,92.71,3,1,MovingAverage,1,2,4,3,2,3,1,1,0,1,3,1,92.71,2,1.18,1.43,1.28,1.21,1.33,1.17,1.27,1.13,1.13,1.1,1.15,1.25,1,24,1.052314,1.21838,6,86.36993385,0,1.374,0.7969,1.2328,2.92,SLP,0.8682701, ,y, , , , ,y,1.18,1.43,1.28,1.21,1.33,1.17,1.27,1.13,1.13,1.1,1.15,1.25
U.S.,AA0025,Product-25,U.S.,Normal,n,4:Decline,Freq 3/6,,foo,4.91,0,1,MovingAverage,3,2,1,2,0,3,0,0,3,2,0,0,0,1,0.88,1.06,0.95,0.9,0.99,0.87,0.94,0.84,0.84,0.82,0.85,0.94,1,25,1.442031,0.908005,6,158.8131123,0,1.2505,1.1448,1.1528,0,SLP,2.18780161, ,y, , , , , ,0.88,1.06,0.95,0.9,0.99,0.87,0.94,0.84,0.84,0.82,0.85,0.94
U.S.,AA0026,Product-26,U.S.,Normal,n,4:Decline,Freq 3/6,,foo,94.19,0,1,MovingAverage,0,2,1,0,2,1,1,0,3,0,0,1,94.19,1,0.83,1.01,0.9,0.85,0.94,0.83,0.89,0.8,0.8,0.77,0.81,0.89,1,26,1.252074,0.859703,6,145.6402967,0,1.2416,1.6923,0.9167,0.12,SLP,1.74204143, ,y, , , , ,y,0.83,1.01,0.9,0.85,0.94,0.83,0.89,0.8,0.8,0.77,0.81,0.89
U.S.,AA0027,Product-27,U.S.,Normal,n,4:Decline,Freq 5/6,T2,foo,70.06,4,2,MovingAverage,3,1,2,3,3,0,2,4,5,1,1,1,70.06,2,2.38,2.88,2.58,2.43,2.68,2.36,2.56,2.29,2.29,2.21,2.31,2.53,1,27,1.906262,2.457718,6,77.56227525,0,1.7691,0.6747,1.5556,4.37,SH ,1.41247262, ,y, , , , , ,2.38,2.88,2.58,2.43,2.68,2.36,2.56,2.29,2.29,2.21,2.31,2.53
U.S.,AA0028,Product-28,U.S.,Normal,n,3:Mature,Freq 6/6,T1,foo,70.06,0,2,MovingAverage,2,2,0,6,3,3,4,2,1,1,1,1,70.06,2,1.65,1.99,1.79,1.69,1.86,1.63,1.77,1.58,1.58,1.53,1.6,1.75,1,28,1.138624,1.702962,6,66.86138622,0,1.5275,0.7,1.1667,0.3,SLP,0.72728148, ,y, , , , , ,1.65,1.99,1.79,1.69,1.86,1.63,1.77,1.58,1.58,1.53,1.6,1.75
U.S.,AA0029,Product-29,U.S.,Normal,n,3:Mature,Freq 6/6,T1,foo,70.06,0,2,MovingAverage,4,1,2,3,5,7,3,2,3,1,2,2,140.12,3,2.17,2.62,2.35,2.22,2.44,2.15,2.33,2.08,2.08,2.02,2.11,2.31,1,29,1.76297,2.936148,12,60.0436354,0,1.5501,0.478,1.3611,0,SH ,1.32538194, ,y, , , , ,y,2.17,2.62,2.35,2.22,2.44,2.15,2.33,2.08,2.08,2.02,2.11,2.31
U.S.,AA0030,Product-30,U.S.,Normal,n,4:Decline,Freq 5/6,,foo,70.06,5,3,MovingAverage,3,3,3,4,4,0,4,3,7,1,2,3,210.18,3,3.35,4.05,3.63,3.42,3.77,3.32,3.6,3.22,3.22,3.11,3.25,3.56,1,30,2.206151,3.458372,6,63.79160484,0,2.3274,0.7097,1.8333,5.06,SH ,1.34445324, ,y, , , , ,y,3.35,4.05,3.63,3.42,3.77,3.32,3.6,3.22,3.22,3.11,3.25,3.56
U.S.,AA0031,Product-31,U.S.,Normal,n,4:Decline,Freq 4/6,,foo,18.38,3,1,MovingAverage,1,1,0,1,0,3,0,1,0,1,6,0,0,1,1.39,1.67,1.5,1.41,1.56,1.37,1.49,1.33,1.33,1.29,1.34,1.47,1,31,1.857986,1.215841,12,152.8148829,0,2.487,0.9282,1.9728,3.22,SLP,2.30905747, ,y, , , , ,y,1.39,1.67,1.5,1.41,1.56,1.37,1.49,1.33,1.33,1.29,1.34,1.47
